the Nintendo character's name,the game in which the character first appeared
Baby Bowser,Super Mario World 2: Yoshi's Island
Baby Luigi,Super Mario World 2: Yoshi's Island
Baby Mario,Super Mario World 2: Yoshi's Island
Birdo,Doki Doki Panic
Bowser,Super Mario Bros
Bowser Jr,Super Mario Sunshine
Princess Daisy,Super Mario Land
Geno,Super Mario RPG: The Legend of the Seven Stars
King Boo,Luigi's Mansion
Luigi,Mario Bros
Mario,Donkey Kong
Pauline,Donkey Kong
Princess Peach,Super Mario Bros
Professor Elvin Gadd,Luigi's Mansion
Rosalina,Super Mario Galaxy
Toad,Super Mario Bros
Waluigi,Mario Tennis
Wario,Super Mario Land 2: 6 Golden Coins
Yoshi,Super Mario World
